2,0,60,64,0,0.9,2,3
2,0,60,64,0.9,1.8,4,5
2,0,60,64,1.8,2.4,6,7
2,0,62,64,2.4,2.7,8,9
2,0,64,64,2.7,3.6,10,11
2,0,64,64,3.6,4.2,12,13
2,0,62,64,4.2,4.5,14,15
2,0,64,64,4.5,5.1,16,17
2,0,65,64,5.1,5.4,18,19
2,0,67,64,5.4,7.2,20,21
2,0,67,64,8.1,8.4,22,23
2,0,67,64,8.4,8.7,24,25
2,0,67,64,8.7,9,26,27
2,0,64,64,9,9.3,28,29
2,0,64,64,9.3,9.6,30,31
2,0,64,64,9.6,9.9,32,33
2,0,60,64,9.9,10.2,34,35
2,0,60,64,10.2,10.5,36,37
2,0,60,64,10.5,10.8,38,39
2,0,67,64,10.8,11.4,40,41
2,0,65,64,11.4,11.7,42,43
2,0,64,64,11.7,12.3,44,45
2,0,62,64,12.3,12.6,46,47
2,0,60,64,12.6,14.4,48,49
